"title"	"auteur"	"pid"	"venue"	"volume"	"number"	"pages"	"year"	"key"	"type"	"doi"	"ee"	"url"
 	 	 	 	 	 	 	 	 	 	 	 	 
"Study on E-Commerce Adoption in SMEs Under the Institutional Perspective - The Case of Saudi Arabia."	"    Almaaf Bader Ali A    Jian-Jun Miao    Quang-Dung Tran"	"    151/1489    151/1478    151/1503"	"IJEA"	"10"	"1"	"53-72"	"2018"	"journals/ijea/AMT18"	"Journal Articles"	"10.4018/IJEA.2018010104"	"https://doi.org/10.4018/IJEA.2018010104"	"https://dblp.org/rec/journals/ijea/AMT18"
"B2B E-Commerce Institutionalization in SMEs in Less Developed Countries - A Model and Instrument."	"    Almaaf Bader Ali A    Jian-Jun Miao    Quang-Dung Tran"	"    151/1489    151/1478    151/1503"	"IJEA"	"5"	"4"	"1-21"	"2013"	"journals/ijea/AMT13"	"Journal Articles"	"10.4018/IJEA.2013100101"	"https://doi.org/10.4018/ijea.2013100101"	"https://dblp.org/rec/journals/ijea/AMT13"
"Image Tampering Detection Using Convolutional Neural Network."	"    Shruti Singhania    Arju N. A    Raina Singh"	"    250/1133    250/0819    250/0774"	"IJSE"	"10"	"1"	"54-63"	"2019"	"journals/ijse/SinghaniaAS19"	"Journal Articles"	"10.4018/IJSE.2019010103"	"https://doi.org/10.4018/IJSE.2019010103"	"https://dblp.org/rec/journals/ijse/SinghaniaAS19"
"Geo-spatial reporting for monitoring of household immunization coverage through mobile phones - Findings from a feasibility study."	"    Abdul Momin Kazi    M. Ali    Ayub K    H. Kalimuddin    K. Zubair    Abdul Nafey Kazi    Artani A    S. A. Ali"	"    169/4707    51/6334    209/2009    209/2151    209/2494    169/4776    209/2378    98/6987"	"Int. J. Medical Informatics"	"107"	"/"	"48-55"	"2017"	"journals/ijmi/KaziAKKZKAA17"	"Journal Articles"	"10.1016/J.IJMEDINF.2017.09.004"	"https://doi.org/10.1016/j.ijmedinf.2017.09.004"	"https://dblp.org/rec/journals/ijmi/KaziAKKZKAA17"
"Stance detection and mobile app recommendation discourse on tweets."	"    Muthusami R    Bharathi A"	"    252/3995    252/4175"	"Computational Intelligence"	"35"	"4"	"1042-1059"	"2019"	"journals/ci/RA19"	"Journal Articles"	"10.1111/COIN.12231"	"https://doi.org/10.1111/coin.12231"	"https://dblp.org/rec/journals/ci/RA19"
"The Role of IT and Organizational Capabilities on Digital Business Value."	"    Christian Riera    Junichi Iijima"	"    18/10974    66/2445"	"Pac. Asia J. Assoc. Inf. Syst."	"11"	"2"	"4"	"2019"	"journals/pajais/RieraI19"	"Journal Articles"	"/"	"https://aisel.aisnet.org/pajais/vol11/iss2/4"	"https://dblp.org/rec/journals/pajais/RieraI19"
"A novel efficient method for nonlinear boundary value problems."	"    Dang Quang A    Dang Quang Long    Ngo Thi Kim Quy"	"    120/8441    206/5516    206/5611"	"Numerical Algorithms"	"76"	"2"	"427-439"	"2017"	"journals/na/ALQ17"	"Journal Articles"	"10.1007/S11075-017-0264-6"	"https://doi.org/10.1007/s11075-017-0264-6"	"https://dblp.org/rec/journals/na/ALQ17"
"Method of Infinite System of Equations for Problems in Unbounded Domains."	"    Dang Quang A    Tran Dinh Hung"	"    120/8441    120/8405"	"J. Applied Mathematics"	"2012"	"/"	"584704:1-584704:17"	"2012"	"journals/jam/AH12"	"Journal Articles"	"10.1155/2012/584704"	"https://doi.org/10.1155/2012/584704"	"https://dblp.org/rec/journals/jam/AH12"
"Iterative Method for Solving the Second Boundary Value Problem for Biharmonic-Type Equation."	"    Dang Quang A    Nguyen Van Thien"	"    120/8441    145/0018"	"J. Applied Mathematics"	"2012"	"/"	"891519:1-891519:18"	"2012"	"journals/jam/AT12"	"Journal Articles"	"10.1155/2012/891519"	"https://doi.org/10.1155/2012/891519"	"https://dblp.org/rec/journals/jam/AT12"
"Perceived Personalization, Privacy Concern, e-WOM and Consumers&apos; Click Through Intention in Social Advertising."	"    Debora Dhanya A    Uma Pricilda Jaidev"	"    249/7754    249/7953"	"IJESMA"	"11"	"4"	"39-55"	"2019"	"journals/ijesma/AJ19"	"Journal Articles"	"10.4018/IJESMA.2019100103"	"https://doi.org/10.4018/IJESMA.2019100103"	"https://dblp.org/rec/journals/ijesma/AJ19"
"Spatio-temporal variation of vegetation coverage and its response to climate change in North China plain in the last 33 years."	"    Duo A    Wenji Zhao    Xinyuan Qu    Ran Jing    Kai Xiong"	"    188/0915    67/8500    121/1159    188/0921    38/6410"	"Int. J. Appl. Earth Obs. Geoinformation"	"53"	"/"	"103-117"	"2016"	"journals/aeog/AZQJX16"	"Journal Articles"	"10.1016/J.JAG.2016.08.008"	"https://doi.org/10.1016/j.jag.2016.08.008"	"https://dblp.org/rec/journals/aeog/AZQJX16"
"Soil Moisture Variability in India - Relationship of Land Surface-Atmosphere Fields Using Maximum Covariance Analysis."	"    Kishore Pangaluru    Isabella Velicogna    Geruo A    Yara Mohajerani    Enrico Ciracì    Sravani Charakola    Ghouse Basha    S. Vijaya Bhaskara Rao"	"    237/5046    196/8860    237/5886    235/5404    231/7375    237/5213    237/5930    237/5857"	"Remote Sensing"	"11"	"3"	"335"	"2019"	"journals/remotesensing/PangaluruVAMCCB19"	"Journal Articles"	"10.3390/RS11030335"	"https://doi.org/10.3390/rs11030335"	"https://dblp.org/rec/journals/remotesensing/PangaluruVAMCCB19"
"A Compact Conformal Windshield Antenna for Location Tracking on Vehicular Platforms."	"    Sakthi Abirami B    Esther Florence Sundarsingh    Harshavardhini A"	"    239/5542    209/3839    239/5344"	"IEEE Trans. Vehicular Technology"	"68"	"4"	"4047-4050"	"2019"	"journals/tvt/BSA19"	"Journal Articles"	"10.1109/TVT.2019.2898709"	"https://doi.org/10.1109/TVT.2019.2898709"	"https://dblp.org/rec/journals/tvt/BSA19"
"Review of underwater image restoration algorithms."	"    Jarina Raihan A    Pg Emeroylariffion Abas    Liyanage C. De Silva"	"    247/8590    241/2525    13/2401"	"IET Image Processing"	"13"	"10"	"1587-1596"	"2019"	"journals/iet-ipr/AAS19"	"Journal Articles"	"10.1049/IET-IPR.2019.0117"	"https://doi.org/10.1049/iet-ipr.2019.0117"	"https://dblp.org/rec/journals/iet-ipr/AAS19"
"Speech Scrambling Based on Imitation of a Target Speech Signal with Non-confidential Content."	"    Dora M. Ballesteros L.    Juan M. Moreno A"	"    51/11156    18/11156"	"CSSP"	"33"	"11"	"3475-3498"	"2014"	"journals/cssp/LA14"	"Journal Articles"	"10.1007/S00034-014-9810-9"	"https://doi.org/10.1007/s00034-014-9810-9"	"https://dblp.org/rec/journals/cssp/LA14"
"Real-time, speech-in-speech hiding scheme based on least significant bit substitution and adaptive key."	"    Dora M. Ballesteros L.    Juan M. Moreno A"	"    51/11156    18/11156"	"Comput. Electr. Eng."	"39"	"4"	"1192-1203"	"2013"	"journals/cee/LA13"	"Journal Articles"	"10.1016/J.COMPELECENG.2013.02.006"	"https://doi.org/10.1016/j.compeleceng.2013.02.006"	"https://dblp.org/rec/journals/cee/LA13"
"Wavelet-denoising on hardware devices with Perfect Reconstruction, low latency and adaptive thresholding."	"    Dora M. Ballesteros L.    Juan M. Moreno A"	"    51/11156    18/11156"	"Comput. Electr. Eng."	"39"	"4"	"1300-1311"	"2013"	"journals/cee/LA13a"	"Journal Articles"	"10.1016/J.COMPELECENG.2013.03.005"	"https://doi.org/10.1016/j.compeleceng.2013.03.005"	"https://dblp.org/rec/journals/cee/LA13a"
"Highly transparent steganography model of speech signals using Efficient Wavelet Masking."	"    Dora M. Ballesteros L.    Juan M. Moreno A"	"    51/11156    18/11156"	"Expert Syst. Appl."	"39"	"10"	"9141-9149"	"2012"	"journals/eswa/LA12"	"Journal Articles"	"10.1016/J.ESWA.2012.02.066"	"https://doi.org/10.1016/j.eswa.2012.02.066"	"https://dblp.org/rec/journals/eswa/LA12"
"On the ability of adaptation of speech signals and data hiding."	"    Dora M. Ballesteros L.    Juan M. Moreno A"	"    51/11156    18/11156"	"Expert Syst. Appl."	"39"	"16"	"12574-12579"	"2012"	"journals/eswa/LA12a"	"Journal Articles"	"10.1016/J.ESWA.2012.05.027"	"https://doi.org/10.1016/j.eswa.2012.05.027"	"https://dblp.org/rec/journals/eswa/LA12a"
"A robust variable step-size LMS-type algorithm - analysis and simulations."	"    Tyseer Aboulnasr    Khaled A. Mayyas"	"    29/2527    87/69"	"IEEE Trans. Signal Processing"	"45"	"3"	"631-639"	"1997"	"journals/tsp/AboulnasrM97"	"Journal Articles"	"10.1109/78.558478"	"https://doi.org/10.1109/78.558478"	"https://dblp.org/rec/journals/tsp/AboulnasrM97"
"Low-Complexity Beam Selection Algorithms for Millimeter Wave Beamspace MIMO Systems."	"    Rahul Pal    A. Krishna Chaitanya    K. V. Srinivas"	"    217/7227    151/6680    31/8909"	"IEEE Communications Letters"	"23"	"4"	"768-771"	"2019"	"journals/icl/PalCS19"	"Journal Articles"	"10.1109/LCOMM.2019.2902147"	"https://doi.org/10.1109/LCOMM.2019.2902147"	"https://dblp.org/rec/journals/icl/PalCS19"
"A Beam Selection Algorithm for Millimeter-Wave Multi-User MIMO Systems."	"    Rahul Pal    K. V. Srinivas    A. Krishna Chaitanya"	"    217/7227    31/8909    151/6680"	"IEEE Communications Letters"	"22"	"4"	"852-855"	"2018"	"journals/icl/PalSC18"	"Journal Articles"	"10.1109/LCOMM.2018.2803805"	"https://doi.org/10.1109/LCOMM.2018.2803805"	"https://dblp.org/rec/journals/icl/PalSC18"
"Resource allocation in a MAC with and without security via game theoretic learning."	"    Shahid Mehraj Shah    Krishna Chaitanya A    Vinod Sharma"	"    53/9887    151/6680    64/6125"	"EURASIP J. Wireless Comm. and Networking"	"2017"	"/"	"116"	"2017"	"journals/ejwcn/ShahAS17"	"Journal Articles"	"10.1186/S13638-017-0901-8"	"https://doi.org/10.1186/s13638-017-0901-8"	"https://dblp.org/rec/journals/ejwcn/ShahAS17"
"Resource allocation in a MAC with and without security via game theoretic learning."	"    Shahid Mehraj Shah    Krishna Chaitanya A    Vinod Sharma"	"    53/9887    151/6680    64/6125"	"EURASIP J. Wireless Comm. and Networking"	"2017"	"/"	"116"	"2017"	"journals/ejwcn/ShahAS17"	"Journal Articles"	"10.1186/S13638-017-0901-8"	"https://doi.org/10.1186/s13638-017-0901-8"	"https://dblp.org/rec/journals/ejwcn/ShahAS17"
"Improved image compression using effective lossless compression technique."	"    C. Raghavendra    S. Sivasubramanian    Kumaravel A"	"    251/8273    47/3037    241/6612"	"Cluster Computing"	"22"	"Supplement"	"3911-3916"	"2019"	"journals/cluster/RaghavendraSA19"	"Journal Articles"	"10.1007/S10586-018-2508-1"	"https://doi.org/10.1007/s10586-018-2508-1"	"https://dblp.org/rec/journals/cluster/RaghavendraSA19"
"Construction of Deep Convolutional Neural Networks For Medical Image Classification."	"    Rama A    Kumaravel A    Nalini C"	"    241/6756    241/6612    241/6682"	"IJCVIP"	"9"	"2"	"1-15"	"2019"	"journals/ijcvip/AAC19"	"Journal Articles"	"10.4018/IJCVIP.2019040101"	"https://doi.org/10.4018/IJCVIP.2019040101"	"https://dblp.org/rec/journals/ijcvip/AAC19"
"Channel Estimation Strategies for Multi-User mm Wave Systems."	"    Manoj A    Arun Pachai Kannu"	"    198/0581    59/5530"	"IEEE Trans. Communications"	"66"	"11"	"5678-5690"	"2018"	"journals/tcom/AK18"	"Journal Articles"	"10.1109/TCOMM.2018.2854188"	"https://doi.org/10.1109/TCOMM.2018.2854188"	"https://dblp.org/rec/journals/tcom/AK18"
"Optimal Intervention Strategies for the Spread of Obesity."	"    Chunyoung Oh    Masud M. A"	"    167/3180    167/3199"	"J. Applied Mathematics"	"2015"	"/"	"217808:1-217808:9"	"2015"	"journals/jam/OhA15"	"Journal Articles"	"10.1155/2015/217808"	"https://doi.org/10.1155/2015/217808"	"https://dblp.org/rec/journals/jam/OhA15"
"The Sky Is Not the Limit - LTE for Unmanned Aerial Vehicles."	"    Xingqin Lin    Vijaya Yajnanarayana    Siva D. Muruganathan    Shiwei Gao    Henrik Asplund    Helka-Liina Maattanen    Mattias Bergström    Sebastian Euler    Y.-P. Eric Wang"	"    21/9365    147/5121    36/6078    154/4277    00/2208    88/5665    203/8204    182/5453    45/2766"	"IEEE Communications Magazine"	"56"	"4"	"204-210"	"2018"	"journals/cm/LinYMGAMBEW18"	"Journal Articles"	"10.1109/MCOM.2018.1700643"	"https://doi.org/10.1109/MCOM.2018.1700643"	"https://dblp.org/rec/journals/cm/LinYMGAMBEW18"
"Did the Super Bowl Kill the Internet?"	"    Néstor Morales    Mattias Bergström"	"    46/9771    203/8204"	"IEEE Access"	"5"	"/"	"9812-9822"	"2017"	"journals/access/MoralesB17"	"Journal Articles"	"10.1109/ACCESS.2017.2703980"	"https://doi.org/10.1109/ACCESS.2017.2703980"	"https://dblp.org/rec/journals/access/MoralesB17"
"The Sky Is Not the Limit - LTE for Unmanned Aerial Vehicles."	"    Xingqin Lin    Vijaya Yajnanarayana    Siva D. Muruganathan    Shiwei Gao    Henrik Asplund    Helka-Liina Maattanen    Mattias Bergström    Sebastian Euler    Y.-P. Eric Wang"	"    21/9365    147/5121    36/6078    154/4277    00/2208    88/5665    203/8204    182/5453    45/2766"	"IEEE Communications Magazine"	"56"	"4"	"204-210"	"2018"	"journals/cm/LinYMGAMBEW18"	"Journal Articles"	"10.1109/MCOM.2018.1700643"	"https://doi.org/10.1109/MCOM.2018.1700643"	"https://dblp.org/rec/journals/cm/LinYMGAMBEW18"
"Exploring the Mediating Role of Feedback Environment in the Relationship Between Supervisors&apos; Emotional Intelligence and Employees&apos; Performance - Feedback Environment."	"    Saif Khan    Mehwish A    Mohammad Abu Faiz    Faisal Khan"	"    172/7745    245/1271    245/1449    90/1463"	"IJABIM"	"10"	"3"	"91-104"	"2019"	"journals/ijabim/KhanAFK19"	"Journal Articles"	"10.4018/IJABIM.2019070106"	"https://doi.org/10.4018/IJABIM.2019070106"	"https://dblp.org/rec/journals/ijabim/KhanAFK19"
"Optimal size and siting of multiple distributed generators in distribution system using bacterial foraging optimization."	"    Mohamed Imran A    Kowsalya M"	"    143/2759    143/2747"	"Swarm Evol. Comput."	"15"	"/"	"58-65"	"2014"	"journals/swevo/AM14"	"Journal Articles"	"10.1016/J.SWEVO.2013.12.001"	"https://doi.org/10.1016/j.swevo.2013.12.001"	"https://dblp.org/rec/journals/swevo/AM14"
"Dynamic association and participant based adaptive streaming in small base station for live video conference on 5G networks."	"    Frederick Swartz Daniel D    Mohamed Junaid K. A    Jaison B    Anita Rose J. T"	"    220/0100    220/0352    220/0074    220/0105"	"Trans. Emerging Telecommunications Technologies"	"29"	"5"	"/"	"2018"	"journals/ett/DABT18"	"Journal Articles"	"10.1002/ETT.3300"	"https://doi.org/10.1002/ett.3300"	"https://dblp.org/rec/journals/ett/DABT18"
"A New Three-Phase Multipoint Clamped 5L-HPFC With Reduced PSD Count and Switch Stress."	"    Naveen Yalla    Narendra Babu A    Pramod Agarwal"	"    255/2265    255/2413    41/7531"	"IEEE Trans. Industrial Electronics"	"67"	"4"	"2532-2543"	"2020"	"journals/tie/YallaAA20"	"Journal Articles"	"10.1109/TIE.2019.2910030"	"https://doi.org/10.1109/TIE.2019.2910030"	"https://dblp.org/rec/journals/tie/YallaAA20"
"Constructions of binary constant-weight cyclic codes and cyclically permutable codes."	"    Nguyen Q. A    László Györfi    James L. Massey"	"    63/1842    48/6301    19/4346"	"IEEE Trans. Information Theory"	"38"	"3"	"940-949"	"1992"	"journals/tit/AGM92"	"Journal Articles"	"10.1109/18.135636"	"https://doi.org/10.1109/18.135636"	"https://dblp.org/rec/journals/tit/AGM92"
"Adaptive threshold based selective weighted least square signal combining for LTE-A relay network."	"    Jagan V    Rajesh A"	"    234/9510    234/9417"	"Comput. Electr. Eng."	"72"	"/"	"752-765"	"2018"	"journals/cee/VA18"	"Journal Articles"	"10.1016/J.COMPELECENG.2017.11.024"	"https://doi.org/10.1016/j.compeleceng.2017.11.024"	"https://dblp.org/rec/journals/cee/VA18"
"Construction of Deep Convolutional Neural Networks For Medical Image Classification."	"    Rama A    Kumaravel A    Nalini C"	"    241/6756    241/6612    241/6682"	"IJCVIP"	"9"	"2"	"1-15"	"2019"	"journals/ijcvip/AAC19"	"Journal Articles"	"10.4018/IJCVIP.2019040101"	"https://doi.org/10.4018/IJCVIP.2019040101"	"https://dblp.org/rec/journals/ijcvip/AAC19"
"Multi-Objective Optimization for Solid Amine CO2 Removal Assembly in Manned Spacecraft."	"    Rong A    Liping Pang 0002    Meng Liu    Dongsheng Yang"	"    204/8970    41/2541-2    41/7841    92/6084"	"Entropy"	"19"	"7"	"348"	"2017"	"journals/entropy/APLY17"	"Journal Articles"	"10.3390/E19070348"	"https://doi.org/10.3390/e19070348"	"https://dblp.org/rec/journals/entropy/APLY17"
"A Compatibility Vector Technique for Cooperative Scheduling and Channel Assignment Algorithm in Broadband Wireless Networks."	"    Ramkumar Jayaraman    Gunasekaran Raja    Dipak Ghosal    Rajakumar Arul    Sabareesh Kumar A"	"    136/4419    180/4444    55/4427    200/2662    204/1762"	"MONET"	"22"	"4"	"730-742"	"2017"	"journals/monet/JayaramanRGAA17"	"Journal Articles"	"10.1007/S11036-017-0841-X"	"https://doi.org/10.1007/s11036-017-0841-x"	"https://dblp.org/rec/journals/monet/JayaramanRGAA17"
"Text Clustering Using PSO Based Dynamic Adaptive SOM for Detecting Emergent Trends."	"    D. Chandrakala    S. Sumathi    Saran Kumar A    Sathish J"	"    15/10407    24/6364    250/1606    250/1600"	"IJIIT"	"15"	"3"	"64-78"	"2019"	"journals/ijiit/ChandrakalaSAJ19"	"Journal Articles"	"10.4018/IJIIT.2019070104"	"https://doi.org/10.4018/IJIIT.2019070104"	"https://dblp.org/rec/journals/ijiit/ChandrakalaSAJ19"
"Mining Efficient Fuzzy Bio-Statistical Rules for Association of Sandalwood in Pachaimalai Hills."	"    Delphin Sonia M    John Robinson P    Sebastian Rajasekaran A"	"    163/4726    163/4701    163/4713"	"IJAEIS"	"6"	"2"	"40-76"	"2015"	"journals/ijaeis/MPA15"	"Journal Articles"	"10.4018/IJAEIS.2015040104"	"https://doi.org/10.4018/ijaeis.2015040104"	"https://dblp.org/rec/journals/ijaeis/MPA15"
"A hybrid technique for gender classification with SLBP and HOG features."	"    M. Annalakshmi    S. Mohamed Mansoor Roomi    Sheik Naveedh A"	"    246/9106    133/7697    192/2715"	"Cluster Computing"	"22"	"Suppl 1"	"11-20"	"2019"	"journals/cluster/AnnalakshmiRA19"	"Journal Articles"	"10.1007/S10586-017-1585-X"	"https://doi.org/10.1007/s10586-017-1585-x"	"https://dblp.org/rec/journals/cluster/AnnalakshmiRA19"
"Electrodermal Activity Based Pre-surgery Stress Detection Using a Wrist Wearable."	"    A. S. Anusha    Sukumaran P.    Sarveswaran V.    Surees Kumar S.    Shyam A    Tony J. Akl    Preejith Sreeletha Premkumar    Mohanasankar Sivaprakasam"	"    184/3319    256/3495    256/3494    256/3544    238/0483    225/1255    184/3088    07/3856"	"IEEE J. Biomedical and Health Informatics"	"24"	"1"	"92-100"	"2020"	"journals/titb/AnushaPVSAAPS20"	"Journal Articles"	"10.1109/JBHI.2019.2893222"	"https://doi.org/10.1109/JBHI.2019.2893222"	"https://dblp.org/rec/journals/titb/AnushaPVSAAPS20"
